رقم الصفقة,التصنيف,النوع,سعر الصفقة (ريال),المساحة (متر مربع),سعر المتر المربع (ريال),تاريخ الصفقة,المنطقة,المدينة,الحي,المخطط,القطعة,الملاحظات
28467860,أخرى,أخرى,2549000,236٫00,10800,20/03/2025,الرياض,الرياض,الصفا,3203 / 1,1806 / 1 / 1,صفقة بتمويل
28467857,أخرى,أخرى,500000,841٫70,0,20/03/2025,الشرقية,الاحساء,الرويضة,4 / 633,352,فك رهن
28467854,سكني,وحدة سكنية,531524,45٫12,11780,20/03/2025,مكة المكرمة,مكة المكرمة,المعابدة,بدون,49 / 10,
28467847,أخرى,أخرى,500000,600٫00,0,20/03/2025,مكة المكرمة,جده,طيبة,239 / ب,771,فك رهن
28467836,أخرى,وحدة عقارية,500000,186٫47,0,20/03/2025,مكة المكرمة,مكة المكرمة,العمرة,1 / 32 / 1 / 6,8,فك رهن
28467821,أخرى,أخرى,500000,400٫00,0,20/03/2025,مكة المكرمة,رابغ,الصليب الشرقى / 4 / ق / س,بدون,1361,فك رهن
28467819,أخرى,شقة,500000,352٫41,0,20/03/2025,مكة المكرمة,الطائف,القمرية,4,5,فك رهن
28467809,أخرى,أخرى,500000,370٫00,0,20/03/2025,الجوف,سكاكا,الرحمانية,7 / 1 / 2 / 1398/د,74,فك رهن
28467794,أخرى,أخرى,500000,225٫00,0,20/03/2025,تبوك,تبوك,سلطانة,38 / 31 / ت,1875,فك رهن
28467790,أخرى,أخرى,170000,356٫95,0,20/03/2025,مكة المكرمة,رنيه,خارج حدود الاحياء,بدون,255,فك رهن
28467784,سكني,قطعة أرض,300000,360٫00,0,20/03/2025,الرياض,الرياض,بدر,3264,224/2,فك رهن
28467782,أخرى,فيلا,0,222٫76,0,20/03/2025,الشرقية,الاحساء,بدون,ش / ح / 1147/ 4 / س / المعدل,7631,صفقة بتمويل
28467773,أخرى,أخرى,1700000000,6660٫00,0,20/03/2025,الرياض,الرياض,ضاحية نمار,1629 / ج,عدد العقارات 10-1298-1290-1293-1289-1292-1297-1296-1291-1295-1294,فك رهن
28467766,أخرى,أخرى,500000,500٫00,0,20/03/2025,مكة المكرمة,مكة المكرمة,المحمدية,1 / 7 / 48,737,فك رهن
28467755,أخرى,أخرى,300000,579٫60,0,20/03/2025,الرياض,الرياض,الفيحاء,2028,208,فك رهن
28467747,أخرى,أخرى,0,250٫00,0,20/03/2025,الرياض,الرياض,السويدي,1017,1238,فك رهن
28467741,أخرى,أخرى,500000,550٫25,0,20/03/2025,المدينة المنورة,المدينة المنورة,ابو مرخة,645 / ت / 1414,356,فك رهن
28467729,أخرى,أخرى,300000,500٫00,0,20/03/2025,مكة المكرمة,مكة المكرمة,العمرة,1 / 32 / 1 / 8,316 / س,فك رهن
28467706,سكني,قطعة أرض,680000,375٫00,1813,20/03/2025,الرياض,الرياض,الدار البيضاء,2705/ أ,5041/1,
28467699,أخرى,أخرى,500000,600٫00,0,20/03/2025,مكة المكرمة,جده,القرينية,101 / ب / 1400,245 / 3 / د,فك رهن
28467683,سكني,قطعة أرض,450000,641٫00,702,20/03/2025,مكة المكرمة,الطائف,الفيصلية بالحويه,بدون,بدون,
28467673,أخرى,أخرى,1006056,195٫00,0,20/03/2025,الرياض,الرياض,مطار الملك خالد الدولي,3810 / س,2970,فك رهن
28467665,سكني,قطعة أرض,700000,500٫00,1400,20/03/2025,حايل,حائل,مشروع اسكان حائل,3011,1440,
28467662,أخرى,أخرى,480998,400٫00,0,20/03/2025,الشرقية,الاحساء,الجشه,4 / 258,111 / ب,فك رهن
28467660,أخرى,أخرى,1700000000,5750٫00,0,20/03/2025,الرياض,الرياض,ضاحية نمار,1629 / ع,عدد العقارات 8-196-192-194-197-198-195-199-193,فك رهن
28467658,أخرى,أخرى,1200000,312٫50,3840,20/03/2025,مكة المكرمة,جده,الرياض,184 / ج / س,2501 / 1 / د,صفقة بتمويل
28467648,أخرى,أخرى,0,499٫99,0,20/03/2025,جيزان,بيش,الخضراء1,94 / س / المعدل,3023,صفقة بتمويل
28467646,تجاري,قطعة أرض,4216000,1240٫00,3400,20/03/2025,الشرقية,القطيف,شاطى القطيف بتاروت المجاورة الاولى الحى الثالث,3 / 671,564,
28467634,أخرى,شقة,250000,213٫57,1170,20/03/2025,الشرقية,الخبر,التحلية,80 / 2,41 / 616,صفقة بتمويل
28467617,أخرى,أخرى,130000,640٫00,203,20/03/2025,جيزان,ابو عريش,رح ابوعريش,153,673 / 2,صفقة بتمويل
28467614,سكني,قطعة أرض,1585658,396٫00,0,20/03/2025,الحدود الشمالية,عرعر,الجوهره,2/ ظ/ 1415,24/د,رهن
28467610,أخرى,شقة,319000,73٫51,4339,20/03/2025,مكة المكرمة,جده,الريان,260/ ب,1/3,صفقة بتمويل
28467605,أخرى,أخرى,1700000000,6250٫00,0,20/03/2025,الرياض,الرياض,ضاحية نمار,1629 / ع,عدد العقارات 10-184-186-182-188-191-187-190-185-189-183,فك رهن
28467601,سكني,وحدة سكنية,541290,44٫62,12131,20/03/2025,مكة المكرمة,مكة المكرمة,المعابدة,بدون,4 / ح1,
28467599,أخرى,فيلا,0,226٫61,0,20/03/2025,الشرقية,الاحساء,بدون,ش / ح / 1147/ 4 / س / المعدل,7283,صفقة بتمويل
28467597,أخرى,أخرى,0,660٫00,0,20/03/2025,مكة المكرمة,جده,الزهراء,51 / ب,407,هبة
28467571,أخرى,أخرى,0,660٫00,0,20/03/2025,مكة المكرمة,جده,الزهراء,51 / ب,405,هبة
28467544,سكني,بيت,325000,283٫65,1145,20/03/2025,الرياض,المزاحميه,الطريف,بدون,بدون,
28467540,أخرى,شقة,610000,159٫70,3819,20/03/2025,مكة المكرمة,مكة المكرمة,وادي جليل,1 / 20 / 19,1 / ح1,صفقة بتمويل
28467531,سكني,قطعة أرض,750000,806٫00,930,20/03/2025,مكة المكرمة,جده,جوهرة العروس,244 / ج / س,893 / 2 / ل,
28467512,سكني,قطعة أرض,550000,887٫45,619,20/03/2025,مكة المكرمة,جده,خارج حدود الاحياء,666 / ج / س,816,
28467508,أخرى,شقة,690000,147٫10,4690,20/03/2025,الرياض,الرياض,الجنادرية,3680,1 / ح1,صفقة بتمويل
28467498,سكني,قطعة أرض,1644450,1644٫45,1000,20/03/2025,القصيم,بريده,واسط,ق / ب / 7107,4,
28467492,سكني,شقة,600000,160٫94,3728,20/03/2025,الرياض,الرياض,العزيزية,بدون,1 / 1,
28467490,سكني,فيلا,572308,222٫76,2569,20/03/2025,الشرقية,الهفوف,بدون,ش / ح / 1147/ 4 / س / المعدل,8415,
28467474,أخرى,أخرى,37500000,40000٫00,937,20/03/2025,الشرقية,الجبيل,بدون,بدون,79,رهن
28467472,أخرى,أخرى,617555,495٫50,1246,20/03/2025,الشرقية,الدمام,العنود,1 / 85,345 / ب,رهن
28467468,سكني,قطعة أرض,0,538٫85,0,20/03/2025,مكة المكرمة,مكة المكرمة,بدون,بدون,بدون,هبة
28467467,أخرى,أخرى,400000,800٫00,500,20/03/2025,الرياض,الرياض,الحائر,3918,1120,صفقة بتمويل
28467458,أخرى,أخرى,937683,475٫93,1970,20/03/2025,الشرقية,الخبر,الشفاء,677 ش خ,371 / 1,صفقة بتمويل
28467455,أخرى,أخرى,1820500,539٫35,3375,20/03/2025,الشرقية,القطيف,الرمال,3 / 741,2 / 98,رهن
28467444,أخرى,أخرى,415000,434٫00,956,20/03/2025,مكة المكرمة,جده,الجزيرة,244 / ج / س,ِ1099  /  1,صفقة بتمويل
28467438,سكني,وحدة سكنية,492967,44٫26,11137,20/03/2025,مكة المكرمة,مكة المكرمة,المعابدة,بدون,20 / ح1,
28467429,أخرى,أخرى,1601543,336٫33,0,20/03/2025,الرياض,الخرج,الملقا,1456,102 / ب,فك رهن
28467427,أخرى,شقة,1326850,626٫08,2119,20/03/2025,الرياض,الخرج,الفيصلية,1528,1,رهن
28467426,أخرى,شقة,490000,134٫59,3640,20/03/2025,مكة المكرمة,جده,العزيزية,3 / 267 / ع,2 / 1,صفقة بتمويل
28467424,أخرى,أخرى,1083147,720٫00,0,20/03/2025,القصيم,بريده,الضاحي الغربي,704 / 2 / ق,25,فك رهن
28467422,أخرى,أخرى,0,611٫25,0,20/03/2025,الرياض,الخرج,البدع,548,276,هبة
28467418,زراعي,أرض زراعية,0,4328٫00,0,20/03/2025,عسير,ابها,بنى مالك,بدون,بدون,هبة
28467367,أخرى,أخرى,0,875٫00,0,20/03/2025,الرياض,الرياض,النسيم الغربي,1270 / هـ,569,هبة
28467351,أخرى,أخرى,0,484٫00,0,20/03/2025,الرياض,الرياض,الجزيرة,1351,5 / - / 1108,فرز/دمج
28467330,أخرى,أخرى,1700000000,5086٫55,0,20/03/2025,الرياض,الرياض,ديراب,1629 / ه,عدد العقارات 10-548-545-549 / أ-546-547 / أ-548 / أ-545 / أ-546 / أ-547-549,فك رهن
28467314,أخرى,أخرى,1700000000,16100٫00,0,20/03/2025,الرياض,الرياض,ضاحية نمار,1629 / ج,عدد العقارات 18-1278-1263-1275-1271-1262-1274-1266-1265-1261-1270-1272-1269-1267-1268-1277-1276-1273-1264,فك رهن
28467308,أخرى,شقة,250000,213٫57,1170,20/03/2025,الشرقية,الخبر,التحلية,80 / 2,33 / 707,صفقة بتمويل
28467306,أخرى,فيلا,1850000,452٫92,4084,20/03/2025,الشرقية,الدمام,السيف,ش د 1450,4403,صفقة بتمويل
28467297,أخرى,أخرى,300000,625٫00,0,20/03/2025,الرياض,الرياض,السويدي الغربي,1638 / ج,3146,فك رهن
28467295,سكني,قطعة أرض,691226,400٫00,1728,20/03/2025,الجوف,سكاكا,التلال,1 / 1 / 2 / 1406,350,رهن
28467256,سكني,وحدة تجارية,1100000,70٫13,15685,20/03/2025,مكة المكرمة,جده,الواحة,588 / ج / س,4 / أ,
28467255,أخرى,أخرى,1700000000,8450٫00,0,20/03/2025,الرياض,الرياض,ضاحية نمار,1629 / ج,عدد العقارات 8-85-86-88-90-87-92-91-89,فك رهن
28467249,سكني,وحدة سكنية,535614,46٫36,11553,20/03/2025,مكة المكرمة,مكة المكرمة,المعابدة,بدون,29 / 13,
28467246,أخرى,أخرى,0,484٫00,0,20/03/2025,الرياض,الرياض,الجزيرة,1351,5 / 44 / 401,فرز/دمج
28467243,سكني,قطعة أرض,2109896,396٫00,0,20/03/2025,الحدود الشمالية,عرعر,الجوهره,2/ ظ/ 1415,24/د,فك رهن
28467241,أخرى,شقة,501900,232٫96,2154,20/03/2025,عسير,خميس مشيط,المنصورة,988 / 1432 / ع / 2/س/المعدل,1 / 5,صفقة بتمويل
28467238,أخرى,أخرى,0,552٫00,0,20/03/2025,الرياض,الرياض,ضاحية نمار,1994,79,هبة
28467236,أخرى,أخرى,1647000,535٫55,3075,20/03/2025,الشرقية,القطيف,الرمال,3 / 741,1 / 98,رهن
28467199,أخرى,أخرى,625120,299٫80,0,20/03/2025,المدينة المنورة,المدينة المنورة,غرب ابو مرخة / 10ت,873 / ت / 1420,246 / 2,فك رهن
28467168,أخرى,شقة,0,219٫49,0,20/03/2025,عسير,ابها,الروابي,4776 / 1443 / ع / 1,1 / 1,فرز/دمج
28467167,سكني,شقة,0,219٫49,0,20/03/2025,عسير,ابها,الروابى,4776 / 1443 / ع / 1,2 / 2,فرز/دمج
28467165,أخرى,شقة,0,212٫65,0,20/03/2025,عسير,ابها,الروابى,4776 / 1443 / ع / 1,2 / أ,فرز/دمج
28467164,أخرى,شقة,0,219٫49,0,20/03/2025,عسير,ابها,الروابى,4776 / 1443 / ع / 1,1 / 2,فرز/دمج
28467163,أخرى,شقة,0,219٫49,0,20/03/2025,عسير,ابها,الروابى,4776 / 1443 / ع / 1,2 / ح1,فرز/دمج
28467162,أخرى,شقة,0,219٫49,0,20/03/2025,عسير,ابها,الروابى,4776 / 1443 / ع / 1,1 / ح1,فرز/دمج
28467157,أخرى,فيلا,0,337٫40,0,20/03/2025,مكة المكرمة,الجموم,الهنيه,ك ك / 1 / 25 / 30,2386,فرز/دمج
28467154,أخرى,فيلا,1000000,323٫59,3090,20/03/2025,مكة المكرمة,مكة المكرمة,الشامية الجديد,1 / 7 / 106 / أ,7362,صفقة بتمويل
28467152,أخرى,أخرى,779700,400٫00,1949,20/03/2025,الرياض,الرياض,الحائر,3918,978,صفقة بتمويل
28467142,أخرى,أخرى,1700000000,11250٫00,0,20/03/2025,الرياض,الرياض,ضاحية نمار,1629 / ج,عدد العقارات 18-1032-1023-1036-1025-1026-1024-1037-1034-1022-1031-1038-1030-1035-1021-1027-1028-1029-1033,فك رهن
28467141,أخرى,فيلا,0,320٫68,0,20/03/2025,مكة المكرمة,الجموم,الهنيه,ك ك / 1 / 25 / 30,2333,فرز/دمج
28467136,أخرى,شقة,0,212٫65,0,20/03/2025,عسير,ابها,الروابي,4776 / 1443 / ع / 1,1 / أ,فرز/دمج
28467133,سكني,بيت,40000,659٫00,60,20/03/2025,حايل,الشملى,الحفيرة,بدون,بدون,
28467128,سكني,قطعة أرض,726400,872٫00,833,20/03/2025,جيزان,ضمد,القمرى,بدون,بدون,صفقة بتمويل
28467117,أخرى,فيلا,0,702٫60,0,20/03/2025,الرياض,الرياض,ظهرة لبن,2351 / 2,4427,فرز/دمج
28467116,أخرى,أخرى,1700000000,6875٫00,0,20/03/2025,الرياض,الرياض,ضاحية نمار,1629 / ج,عدد العقارات 8-1560-1555-1562-1557-1561-1559-1556-1558,فك رهن
28467115,سكني,شقة,674500,169٫43,3980,20/03/2025,تبوك,تبوك,البوادى,545/ 38/ ت,1/أ,صفقة بتمويل
28467111,أخرى,شقة,0,212٫65,0,20/03/2025,عسير,ابها,الروابي,4776 / 1443 / ع / 1,1 / أ,فرز/دمج
28467110,سكني,شقة,0,219٫49,0,20/03/2025,عسير,ابها,الروابي,4776 / 1443 / ع / 1,2 / 1,فرز/دمج
28467109,أخرى,شقة,0,212٫65,0,20/03/2025,عسير,ابها,الروابى,4776 / 1443 / ع / 1,2 / أ,فرز/دمج
28467108,أخرى,شقة,0,219٫49,0,20/03/2025,عسير,ابها,الروابى,4776 / 1443 / ع / 1,1 / 2,فرز/دمج
28467107,أخرى,شقة,0,219٫49,0,20/03/2025,عسير,ابها,الروابى,4776 / 1443 / ع / 1,2 / ح1,فرز/دمج
28467106,أخرى,شقة,0,219٫49,0,20/03/2025,عسير,ابها,الروابى,4776 / 1443 / ع / 1,1 / ح1,فرز/دمج
28467105,أخرى,شقة,0,219٫49,0,20/03/2025,عسير,ابها,الروابي,4776 / 1443 / ع / 1,1 / 1,فرز/دمج
28467084,أخرى,شقة,0,293٫14,0,20/03/2025,المدينة المنورة,المدينة المنورة,الحرة الشرقية القبلية,بدون,2 / 2,فرز/دمج
28467083,أخرى,شقة,0,254٫09,0,20/03/2025,المدينة المنورة,المدينة المنورة,الحرة الشرقية القبلية,بدون,1 / أ,فرز/دمج
28467082,أخرى,شقة,0,243٫53,0,20/03/2025,المدينة المنورة,المدينة المنورة,الحرة الشرقية القبلية,بدون,1 / ح1,فرز/دمج
28467081,أخرى,شقة,0,219٫79,0,20/03/2025,المدينة المنورة,المدينة المنورة,الحرة الشرقية القبلية,بدون,2 / أ,فرز/دمج
28467080,أخرى,شقة,0,293٫14,0,20/03/2025,المدينة المنورة,المدينة المنورة,الحرة الشرقية القبلية,بدون,2 / 1,فرز/دمج
28467078,أخرى,شقة,0,291٫16,0,20/03/2025,المدينة المنورة,المدينة المنورة,الحرة الشرقية القبلية,بدون,1 / 3,فرز/دمج
28467077,أخرى,شقة,0,291٫16,0,20/03/2025,المدينة المنورة,المدينة المنورة,الحرة الشرقية القبلية,بدون,1 / 1,فرز/دمج
28467076,أخرى,شقة,0,291٫16,0,20/03/2025,المدينة المنورة,المدينة المنورة,الحرة الشرقية القبلية,بدون,1 / 2,فرز/دمج
28467054,أخرى,شقة,550000,156٫06,3524,20/03/2025,مكة المكرمة,جده,النزهة,3 / 534 / ع,1 / 2,صفقة بتمويل
28467053,أخرى,أخرى,609837,400٫00,0,20/03/2025,الشرقية,الاحساء,شمال العيون شمال خط العقير,14 / 18,72,فك رهن
28467052,أخرى,أخرى,126939,865٫00,146,20/03/2025,المدينة المنورة,المدينة المنورة,عروه من مخطط سمو الامير نايف بن عبدالعزيز,7 / ع / 1401,866,
28467049,أخرى,شقة,0,213٫00,0,20/03/2025,تبوك,تبوك,الريان,ت / ت / 15,2 / 1,فرز/دمج
28467048,أخرى,شقة,0,207٫58,0,20/03/2025,تبوك,تبوك,الريان,ت / ت / 15,1 / 1,فرز/دمج
28467046,أخرى,شقة,0,233٫96,0,20/03/2025,تبوك,تبوك,الريان,ت / ت / 15,1 / أ,فرز/دمج
28467041,أخرى,وحدة عقارية,0,199٫54,0,20/03/2025,الرياض,الرياض,الجنادرية,910106060064 / س,1 / أ,فرز/دمج
28467040,أخرى,أخرى,0,279٫76,0,20/03/2025,الرياض,وادي الدواسر,اللدام الشمالي,بدون,بدون,فك رهن
28467038,سكني,فيلا,571493,217٫26,2630,20/03/2025,الشرقية,الهفوف,بدون,ش / ح / 1147/ 4 / س / المعدل,5580,
28467021,سكني,وحدة عقارية,0,157٫12,0,20/03/2025,الرياض,الرياض,الندوة,3980,1 / 1,فرز/دمج
28467019,أخرى,وحدة عقارية,0,181٫10,0,20/03/2025,الرياض,الرياض,الجنادرية,910106060064 / س,1 / 1,فرز/دمج
28467001,سكني,وحدة سكنية,547386,46٫36,11807,20/03/2025,مكة المكرمة,مكة المكرمة,المعابدة,بدون,31 / 13,
28466995,أخرى,شقة,0,214٫32,0,20/03/2025,حايل,حائل,المصيف,762,2 / 1,فرز/دمج
28466994,أخرى,شقة,0,214٫32,0,20/03/2025,حايل,حائل,المصيف,762,1 / 1,فرز/دمج
28466993,سكني,شقة,0,238٫47,0,20/03/2025,حايل,حائل,المصيف,762,1 / أ,فرز/دمج
28466992,أخرى,أخرى,0,550٫00,0,20/03/2025,الرياض,الرياض,المنصورة (خنشليلة),2303,635,هبة
28466979,أخرى,وحدة عقارية,0,187٫16,0,20/03/2025,الرياض,الرياض,الندوة,3980,1 / أ,فرز/دمج
28466954,أخرى,أخرى,300000,400٫00,0,20/03/2025,الرياض,الدلم,بدون,641,بدون,فك رهن
28466953,أخرى,شقة,0,208٫69,0,20/03/2025,عسير,خميس مشيط,الظرفة,2598 / 1443 / ع / 2,2 / 1,فرز/دمج
28466951,أخرى,شقة,0,208٫69,0,20/03/2025,عسير,خميس مشيط,الظرفة,2598 / 1443 / ع / 2,2 / ح1,فرز/دمج
28466949,أخرى,شقة,0,208٫69,0,20/03/2025,عسير,خميس مشيط,الظرفة,2598 / 1443 / ع / 2,1 / 1,فرز/دمج
28466946,سكني,وحدة عقارية,0,157٫12,0,20/03/2025,الرياض,الرياض,الندوة,3980,1 / 1,فرز/دمج
28466943,أخرى,وحدة عقارية,0,187٫15,0,20/03/2025,الرياض,الرياض,الندوة,3980,1 / أ,فرز/دمج
28466924,أخرى,فيلا,0,374٫65,0,20/03/2025,عسير,احد رفيده,النزهه,194 / 1419,3905 / أ,فرز/دمج
28466922,أخرى,فيلا,0,375٫06,0,20/03/2025,عسير,احد رفيده,النزهه,194 / 1419,3915 / أ,فرز/دمج
28466920,أخرى,شقة,0,254٫29,0,20/03/2025,عسير,ابها,أعلى وادى المريش هضبة بنى جرى الشرف,1032 / 1424 / ع / 1,1 / 1,فرز/دمج
28466910,أخرى,شقة,0,239٫93,0,20/03/2025,حايل,حائل,الشفا,799,2 / أ,فرز/دمج
28466907,أخرى,شقة,0,241٫68,0,20/03/2025,حايل,حائل,الشفا,799,1 / 1,فرز/دمج
28466906,أخرى,شقة,0,241٫68,0,20/03/2025,حايل,حائل,الشفا,799,2 / 1,فرز/دمج
28466903,أخرى,أخرى,800000,1800٫00,0,20/03/2025,الرياض,الرياض,النسيم الغربي,1270 / ج,عدد العقارات 2-875-876,رهن
28466895,أخرى,أخرى,1700000000,6450٫00,0,20/03/2025,الرياض,الرياض,ضاحية نمار,1629 / ع,عدد العقارات 8-200-1029-1028-201-203-202-205-204,فك رهن
28466892,أخرى,أخرى,1911838,395٫50,0,20/03/2025,الشرقية,الاحساء,بو سحبل الأول,4 / 581,12,فك رهن
28466885,أخرى,شقة,0,184٫82,0,20/03/2025,عسير,ابها,شرق حى الموظفين,1066/ 1425/ ع/ 1,1/2,فرز/دمج
28466884,أخرى,شقة,0,184٫82,0,20/03/2025,عسير,ابها,شرق حى الموظفين,1066 / 1425 / ع / 1,2 / 1,فرز/دمج
28466883,أخرى,شقة,0,175٫62,0,20/03/2025,عسير,ابها,شرق حى الموظفين,1066 / 1425 / ع / 1,2 / أ,فرز/دمج
28466882,أخرى,شقة,0,184٫82,0,20/03/2025,عسير,ابها,شرق حى الموظفين,1066/ 1425/ ع/ 1,1/1,فرز/دمج
28466875,أخرى,فيلا,0,305٫94,0,20/03/2025,الرياض,الرياض,الجنادرية,3680,1 / أ,فرز/دمج
28466870,أخرى,فيلا,0,432٫40,0,20/03/2025,الشرقية,الخبر,اللؤلؤ,2 / 115,7009,فرز/دمج
28466858,سكني,شقة,0,184٫82,0,20/03/2025,عسير,ابها,شرق حى الموظفين,1066/ 1425/ ع/ 1,2/2,فرز/دمج
28466848,أخرى,شقة,0,129٫96,0,20/03/2025,المدينة المنورة,المدينة المنورة,الدفاع الواقع بين سلطانة وابار على,26 / 29 / ت,1 / ح1,فرز/دمج
28466847,أخرى,شقة,0,114٫39,0,20/03/2025,المدينة المنورة,المدينة المنورة,الدفاع الواقع بين سلطانة وابار على,26 / 29 / ت,2 / 1,فرز/دمج
28466846,أخرى,وحدة عقارية,0,207٫92,0,20/03/2025,المدينة المنورة,المدينة المنورة,الدفاع الواقع بين سلطانة وابار على,26 / 29 / ت,1 / أ,فرز/دمج
28466844,أخرى,وحدة عقارية,0,159٫65,0,20/03/2025,الرياض,الرياض,الجنادرية,3680,1 / 1,فرز/دمج
28466842,أخرى,شقة,0,68٫94,0,20/03/2025,الرياض,الرياض,الجنادرية,3680,1 / ح1,فرز/دمج
28466829,سكني,وحدة عقارية,0,226٫00,0,20/03/2025,الرياض,الرياض,الجنادرية,3768,1 / أ,فرز/دمج
28466827,أخرى,وحدة عقارية,0,210٫15,0,20/03/2025,الرياض,الرياض,الجنادرية,3768,1 / 1,فرز/دمج
28466825,أخرى,شقة,0,169٫36,0,20/03/2025,المدينة المنورة,المدينة المنورة,حمراء الاسد / هـ,1 / ف / 1411 / هـ,1 / 2,فرز/دمج
28466824,أخرى,شقة,0,164٫78,0,20/03/2025,المدينة المنورة,المدينة المنورة,حمراء الاسد / هـ,1 / ف / 1411 / هـ,2 / 1,فرز/دمج
28466823,أخرى,شقة,0,158٫16,0,20/03/2025,المدينة المنورة,المدينة المنورة,حمراء الاسد / هـ,1 / ف / 1411 / هـ,1 / أ,فرز/دمج
28466822,سكني,قطعة أرض,405000,400٫00,1012,20/03/2025,الشرقية,حفر الباطن,المروج,11/ ح,269,
28466821,أخرى,شقة,0,164٫78,0,20/03/2025,المدينة المنورة,المدينة المنورة,حمراء الاسد / هـ,1 / ف / 1411 / هـ,1 / 1,فرز/دمج
28466820,أخرى,شقة,0,169٫36,0,20/03/2025,المدينة المنورة,المدينة المنورة,حمراء الاسد / هـ,1 / ف / 1411 / هـ,2 / 2,فرز/دمج
28466818,أخرى,أخرى,1700000000,8250٫00,0,20/03/2025,الرياض,الرياض,ضاحية نمار,1629 / ط 2,عدد العقارات 12-2651-13-12-2653-14-15-16-2652-18-2649-2654-2650,فك رهن
28466816,أخرى,شقة,0,364٫91,0,20/03/2025,الرياض,الرياض,الجزيرة,1351,1 / أ,فرز/دمج
28466815,أخرى,شقة,0,155٫44,0,20/03/2025,الرياض,الرياض,الجزيرة,1351,1 / 1,فرز/دمج
28466793,أخرى,شقة,0,203٫94,0,20/03/2025,عسير,خميس مشيط,ذهبان,844 / 1428 / ع / 2,1 / أ,فرز/دمج
28466792,أخرى,شقة,0,346٫44,0,20/03/2025,عسير,خميس مشيط,ذهبان,844 / 1428 / ع / 2,1 / 1,فرز/دمج
28466791,أخرى,شقة,0,346٫44,0,20/03/2025,عسير,خميس مشيط,ذهبان,844 / 1428 / ع / 2,2 / 1,فرز/دمج
28466780,سكني,شقة,0,164٫36,0,20/03/2025,الشرقية,الجبيل,العزيزية,7 / 199,1 / أ,فرز/دمج
28466770,أخرى,فيلا,0,904٫79,0,20/03/2025,مكة المكرمة,جده,الاندلس,3 / 407 / ع,8684,فرز/دمج
28466767,تجاري,قطعة أرض,1017500,550٫00,1850,20/03/2025,الشرقية,الدمام,الندى,98/ 1,553/أ,
28466766,أخرى,شقة,1300000,188٫09,6911,20/03/2025,الرياض,الرياض,النرجس,3896,1 / 1,صفقة بتمويل
28466765,أخرى,فيلا,0,496٫98,0,20/03/2025,مكة المكرمة,جده,البساتين,244 / ب / المعدل 2,7011,فرز/دمج
28466762,أخرى,فيلا,0,496٫98,0,20/03/2025,مكة المكرمة,جده,البساتين,244 / ب / المعدل 2,6963,فرز/دمج
28466761,أخرى,فيلا,0,496٫98,0,20/03/2025,مكة المكرمة,جده,البساتين,244 / ب / المعدل 2,6949,فرز/دمج
28466759,سكني,شقة,0,172٫38,0,20/03/2025,الشرقية,الجبيل,العزيزية,7 / 199,2 / 1,فرز/دمج
28466758,أخرى,شقة,0,164٫25,0,20/03/2025,الشرقية,الجبيل,العزيزية,7 / 199,2 / أ,فرز/دمج
28466757,سكني,شقة,0,163٫23,0,20/03/2025,الشرقية,الجبيل,العزيزية,7 / 199,1 / ح1,فرز/دمج
28466756,أخرى,وحدة عقارية,0,198٫99,0,20/03/2025,عسير,ابها,الزهور,4863 / 1443 / ع / 1,1 / 2,فرز/دمج
28466755,أخرى,وحدة عقارية,0,182٫22,0,20/03/2025,عسير,ابها,الزهور,4863 / 1443 / ع / 1,1 / أ,فرز/دمج
28466754,أخرى,وحدة عقارية,0,182٫22,0,20/03/2025,عسير,ابها,الزهور,4863 / 1443 / ع / 1,1 / أ,فرز/دمج
28466753,أخرى,وحدة عقارية,0,198٫99,0,20/03/2025,عسير,ابها,الزهور,4863 / 1443 / ع / 1,1 / 2,فرز/دمج
28466752,أخرى,وحدة عقارية,0,198٫99,0,20/03/2025,عسير,ابها,الزهور,4863 / 1443 / ع / 1,1 / 1,فرز/دمج
28466749,سكني,وحدة سكنية,440976,44٫26,9963,20/03/2025,مكة المكرمة,مكة المكرمة,المعابدة,بدون,33 / 2,
28466747,أخرى,أخرى,1700000000,6250٫00,0,20/03/2025,الرياض,الرياض,ضاحية نمار,1629 / ط 2,عدد العقارات 10-2511-2503-2509-2507-2510-2506-2502-2504-2505-2508,فك رهن
28466743,أخرى,أخرى,0,779٫14,0,20/03/2025,الرياض,الرياض,المصفاة,3200,4964,هبة
28466734,أخرى,فيلا,0,368٫48,0,20/03/2025,نجران,نجران,الشرفة / أ,4 / ن / 1416,6851,فرز/دمج
28466725,أخرى,فيلا,0,300٫50,0,20/03/2025,مكة المكرمة,بحره,بحرة الجديدة,1 / 28 / 5 / 2 المعدل2,8551,فرز/دمج
28466723,أخرى,أخرى,1784938,500٫00,0,20/03/2025,حايل,حائل,الجبل,1155,24,فك رهن
28466722,سكني,قطعة أرض,429000,198٫00,2166,20/03/2025,مكة المكرمة,جده,الزمرد,340 / ب,4,مشترك أو مشاع
28466721,سكني,قطعة أرض,429000,198٫00,2166,20/03/2025,مكة المكرمة,جده,الزمرد,340 / ب,4,مشترك أو مشاع
28466720,سكني,قطعة أرض,442000,204٫00,2166,20/03/2025,مكة المكرمة,جده,الزمرد,340 / ب,4,مشترك أو مشاع
28466719,تجاري,قطعة أرض,1300000,437٫50,2971,20/03/2025,الشرقية,الخبر,الشراع,2 / 92,393 / 2 / ب,
